Geog Key;Geog Name;Prod Key;Prod Name;Periode;P06 2014;P07 2014;P08 2014;P09 2014;P10 2014;P11 2014;P12 2014;P01 2015;P02 2015;P03 2015;P04 2015;P05 2015
656144;XXX MERIGNAC 1131;1;TOTAL SDV;Periode en cours;7.5942747212167;7.0870418263854;6.6873517983865;6.9454309795321;7.3258772641622;7.0733476457018;6.1356732000536;7.43767539694;7.7335654035386;7.7170709411811;7.7363443929105;7.8699155112259
656144;XXX MERIGNAC 1131;1;TOTAL SDV;A-1;7.4941665858397;6.9464287812449;6.7880661475682;6.7369925285838;7.0725138453535;6.9450285803048;6.0282866012474;7.2187472890217;7.5240096462339;7.57141694844;7.4934331639502;7.6171316899059
0;XXX MERIGNAC 1131;1;TOTAL SDV;Ecart vs A-1;0.10010813537694;0.14061304514053;-0.10071434918168;0.20843845094823;0.25336341880863;0.12831906539696;0.10738659880623;0.21892810791826;0.20955575730475;0.14565399274105;0.24291122896024;0.25278382132001
656148;XXX SAINT GAUDENS 1156;1;TOTAL SDV;Periode en cours;13.720348454603;12.304106612469;11.705676931464;14.287007301573;14.619240044505;14.635685603203;12.942340702565;15.149540480462;21.689313957657;14.660026064046;15.905242629317;16.541791954928
656148;XXX SAINT GAUDENS 1156;1;TOTAL SDV;A-1;13.950771158524;12.627101386071;11.728954749864;13.273121566683;13.262470624447;13.4766011625;12.114376275307;13.559403846292;14.043306956313;13.63831456216;13.265038331998;13.904943603921
0;XXX SAINT GAUDENS 1156;1;TOTAL SDV;Ecart vs A-1;-0.23042270392064;-0.32299477360198;-0.02327781840023;1.0138857348891;1.3567694200577;1.159084440703;0.8279644272582;1.5901366341706;7.6460070013439;1.0217115018861;2.6402042973185;2.6368483510066
656167;XXX TALENCE 1124;1;TOTAL SDV;Periode en cours;9.5001736488133;8.7762344014304;8.4118198207073;9.5703007885809;9.7603994969944;9.6906665334372;8.4392523325878;9.8754210623096;9.9675591401237;10.116782723923;10.120753005598;9.6816327162201
656167;XXX TALENCE 1124;1;TOTAL SDV;A-1;9.6704272825394;9.0411581704675;8.8580923999212;9.541919279845;9.7732638888849;9.7699142153319;8.4747720372089;9.9674573995361;10.12788769452;10.332868612998;10.212220296275;10.054305566412
0;XXX TALENCE 1124;1;TOTAL SDV;Ecart vs A-1;-0.17025363372612;-0.26492376903707;-0.44627257921396;0.028381508735848;-0.0128643918905;-0.07924768189475;-0.03551970462109;-0.09203633722651;-0.1603285543966;-0.21608588907438;-0.0914672906765;-0.37267285019161
656168;XXX BEGLES 1130;1;TOTAL SDV;Periode en cours;7.1328839887859;6.8321538667095;6.1923153724551;6.5958475836844;6.8504117391958;6.8995226413899;5.5892464396353;6.6571464443637;7.1686785590283;7.064367600922;7.0188147734467;6.8805216806566
656168;XXX BEGLES 1130;1;TOTAL SDV;A-1;6.730599273456;6.6127182803673;6.1713590126688;6.2262317816065;6.4879054212576;6.5179681609096;5.4048868078709;6.4398480636579;6.9434735449164;6.9279474395681;6.8306371185815;7.022153575155
0;XXX BEGLES 1130;1;TOTAL SDV;Ecart vs A-1;0.40228471532991;0.21943558634226;0.020956359786282;0.36961580207781;0.36250631793818;0.38155448048027;0.18435963176438;0.21729838070583;0.22520501411188;0.13642016135389;0.18817765486523;-0.14163189449833
656172;XXX TOURNEFEUILLE 1051;1;TOTAL SDV;Periode en cours;6.6425920204835;6.454776134148;6.4069887810286;6.4802164945322;6.645574337645;6.7207944895078;6.0337272821429;6.5036711040081;6.8292210540195;6.7452195168809;6.8258824261003;7.1464574828453
656172;XXX TOURNEFEUILLE 1051;1;TOTAL SDV;A-1;4.1889979818256;3.9437119687639;3.9917159709091;4.6891504721491;5.3069168675184;5.4542615155152;5.2346857960545;5.5676359137147;5.6394832684411;5.7540850411727;6.220593509926;6.5255940470733
0;XXX TOURNEFEUILLE 1051;1;TOTAL SDV;Ecart vs A-1;2.4535940386579;2.5110641653841;2.4152728101196;1.7910660223831;1.3386574701266;1.2665329739926;0.79904148608837;0.93603519029341;1.1897377855783;0.99113447570822;0.60528891617431;0.62086343577198
